price,volume,sma
14.94,3172621,14.31
14.7,3214841,14.31
14.49,3013109,14.31
14.43,2554845,14.3
14.09,2290483,14.3
14.29,3095172,14.3
14.04,2158792,14.29
13.6,5131918,14.28
13.68,2967674,14.27
13.49,9052889,14.26
13.63,3086225,14.25
13.63,3907829,14.25
13.6,3152770,14.23
13.65,3457114,14.22
13.59,2359964,14.21
13.57,4043156,14.2
13.44,5543070,14.19
13.4,3786343,14.18
13.32,4717831,14.16
12.92,6827133,14.15
12.89,5839166,14.14
13.08,2994656,14.13
13.03,4072374,14.11
12.9,2677869,14.1
12.76,4180300,14.08
12.89,3661362,14.05
12.56,3277751,14.03
12.48,2925595,14.0
12.31,4777805,13.97
12.48,3426917,13.95
12.54,3607819,13.93
12.38,2722046,13.91
